scenario,mean,median,p5,p95,cv_pct,p_better_than_baseline
baseline_0pct,1131.8691795408436,1123.8480898859239,742.3517170766438,1505.363652071913,21.38212535389173,0.0
cofire_5pct,1122.9434150139782,1099.4413085061892,738.3782249237868,1596.126120636929,24.411161181617878,0.535
cofire_10pct,1053.9758355010608,1022.3208086342029,682.8690375284344,1528.93635654113,25.709877192440466,0.595
cofire_20pct,974.083827390973,947.5176563981429,623.4017124096248,1378.5935976070723,23.974564093080915,0.69
cofire_30pct_barge,895.8744596641151,879.8074767308195,586.319796147003,1255.0843456243358,23.108050272753037,0.785
