parameter,score_low,score_high,elasticity,abs_elasticity
co2_coal_kg_per_GJ,777.4689591562941,931.2702286875441,0.9000862777971586,0.9000862777971586
lhv_coal_MJ_per_kg,860.8104153345491,849.0998342741398,-0.06853346106719944,0.06853346106719944
lhv_pks_MJ_per_kg,856.7754255834665,852.4011867016949,-0.025599219078548757,0.025599219078548757
aux_kWh_per_kg_fuel,853.6735201694175,855.0656676744204,0.00814722056418417,0.00814722056418417
crusher_kWh_per_kg,854.036071655643,854.7031161881949,0.003903723501499563,0.003903723501499563
stockpile_ch4_kg_per_kg,854.2482625542774,854.4909251889779,0.0014201268188080772,0.0014201268188080772
drying_heat_MJ_per_kg,854.2965829717637,854.4426049361615,0.0008545596977974333,0.0008545596977974333
co2_pks_kg_per_GJ,854.3695939219191,854.3695939219191,0.0,0.0
