scenario,mean,median,p5,p95,cv_pct,p_better_than_baseline
baseline_0pct,1131.5524358060586,1123.5194427750707,742.0033086003347,1504.9802846484017,21.389312272360193,0.0
cofire_5pct,1122.5971094969389,1098.9630930198837,738.171203569137,1595.8008157892014,24.420367698779895,0.535
cofire_10pct,1053.5843387850514,1022.0721980284309,682.3393647136702,1528.7102871473624,25.719670677608747,0.595
cofire_20pct,973.6370714621612,947.1668214388606,622.609967280682,1378.0170948187708,23.987209644846637,0.69
cofire_30pct_barge,895.3249149510689,879.446161956764,585.810193600281,1253.984136301803,23.120876078398616,0.785
