parameter,score_low,score_high,elasticity,abs_elasticity
co2_coal_kg_per_GJ,777.0009608340634,930.8022303653134,0.9005795885838377,0.9005795885838377
lhv_coal_MJ_per_kg,860.3184790633718,848.6514215482791,-0.06831617117953141,0.06831617117953141
lhv_pks_MJ_per_kg,856.2793654052904,851.9561480788946,-0.02531449378168487,0.02531449378168487
aux_kWh_per_kg_fuel,853.2371615694819,854.5660296298947,0.0077811545689848135,0.0077811545689848135
crusher_kWh_per_kg,853.5832334394303,854.2199577599464,0.00372832375414966,0.00372832375414966
stockpile_ch4_kg_per_kg,853.7802642320468,854.0229268667473,0.001420905148503187,0.001420905148503187
drying_heat_MJ_per_kg,853.828584649533,853.9746066139309,0.0008550280568061014,0.0008550280568061014
co2_pks_kg_per_GJ,853.9015955996884,853.9015955996884,0.0,0.0
