parameter,score_low,score_high,elasticity,abs_elasticity
co2_coal_kg_per_GJ,771.8758095380061,925.6770790692561,0.9060175418595322,0.9060175418595322
lhv_coal_MJ_per_kg,854.9311780880506,843.7407563729014,-0.06592090173007971,0.06592090173007971
lhv_pks_MJ_per_kg,850.846902628535,847.0824334391311,-0.02217585805230694,0.02217585805230694
aux_kWh_per_kg_fuel,848.4585037457831,849.0943848614789,0.003745869244860698,0.003745869244860698
crusher_kWh_per_kg,848.6241037578003,848.9287848494617,0.0017948253259515378,0.0017948253259515378
stockpile_ch4_kg_per_kg,848.6551129359895,848.89777557069,0.0014294849741007273,0.0014294849741007273
drying_heat_MJ_per_kg,848.7034333534757,848.8494553178735,0.0008601909570997121,0.0008601909570997121
co2_pks_kg_per_GJ,848.7764443036311,848.7764443036311,0.0,0.0
