scenario,mean,median,p5,p95,cv_pct,p_better_than_baseline
baseline_0pct,1128.0837063596293,1119.9203568715284,740.0679540503356,1500.975983356039,21.468875758157818,0.0
cofire_5pct,1118.8046425512853,1093.7260513457613,735.9040677427562,1592.2383317351903,24.52212435168366,0.535
cofire_10pct,1049.2969732025133,1019.690416947547,676.538802657432,1526.2345521067605,25.82821022041933,0.6
cofire_20pct,968.7445502361691,943.3247515872649,616.32621152874,1374.0534761765805,24.127929951351128,0.69
cofire_30pct_barge,889.3067314199365,875.1364554093157,580.2294254092725,1246.382789956334,23.265189358672508,0.785
