parameter,score_low,score_high,elasticity,abs_elasticity
co2_coal_kg_per_GJ,776.2361835692113,930.0374531004613,0.9013868949615921,0.9013868949615921
lhv_coal_MJ_per_kg,859.5145837114412,847.918649993941,-0.06796057483565941,0.06796057483565941
lhv_pks_MJ_per_kg,855.4687309900656,851.2288902992589,-0.02484853894292213,0.02484853894292213
aux_kWh_per_kg_fuel,852.5240882085288,853.7495484611435,0.007182085137331913,0.007182085137331913
crusher_kWh_per_kg,852.8432299907747,853.4304066788977,0.0034412809030389046,0.0034412809030389046
stockpile_ch4_kg_per_kg,853.0154869671946,853.2581496018952,0.001422178890216981,0.001422178890216981
drying_heat_MJ_per_kg,853.0638073846809,853.2098293490787,0.0008557945294334723,0.0008557945294334723
co2_pks_kg_per_GJ,853.1368183348363,853.1368183348363,0.0,0.0
