scenario,mean,median,p5,p95,cv_pct,p_better_than_baseline
baseline_0pct,1131.0348302993098,1122.9823854139518,741.433958282931,1504.3538063073156,21.401084901720484,0.0
cofire_5pct,1122.0311957220108,1098.181619096517,737.8329004508324,1595.2692201739944,24.435443137047205,0.535
cofire_10pct,1052.944575993159,1021.7167874891036,681.4738020029095,1528.3408567521535,25.735716911182006,0.595
cofire_20pct,972.9070070487876,946.5935058940156,621.3161401463888,1377.3126528687162,24.007947584997858,0.69
cofire_30pct_barge,894.4268786572479,878.8557208645424,584.9774286377301,1252.1862336398742,23.141961338396992,0.785
