scenario,average_time_of_use,marginal_time_of_use,marginal_time_of_construction,marginal_decarbonising_2040
baseline_0pct,1114.4344791240783,1115.1960654310694,1114.906944590553,1111.7407194566076
cofire_5pct,1071.6664761714105,1072.5017350197968,1072.1846458887587,1068.7121339294001
cofire_10pct,1031.289482422603,1032.2025963582428,1031.8559511177282,1028.059763782638
cofire_20pct,942.4948199021984,943.5627950096608,943.1573598568937,938.7173514210352
cofire_30pct_barge,853.1368183348363,854.3695939219191,853.9015955996884,848.7764443036311
